Date;Average Temperature (°C);Min Temperature (°C);Max Temperature (°C);Precipitation (mm);Wind Speed (km/h);Pressure (hPa);Sunshine Duration (h)
01.10.2023;14.0;10. Jun;18.0;96.2;14. Jun;1010.4;5544.0
01.11.2023;08. Jan;05. Jun;10. Apr;135.5;17. Jul;1006.3;2238.0
01.12.2023;06. Aug;04. Jul;08. Sep;99.8;18. Feb;1013.4;1938.0
01.01.2024;03. Aug;01. Jan;06. Jun;70.0;16. Apr;1018.5;3996.0
01.02.2024;08. Aug;06. Feb;11. Jun;92.9;16. Jun;1012.2;2730.0
01.03.2024;09. Sep;06. Jun;13. Sep;81.3;12. Sep;1007.8;6462.0
01.04.2024;11. Jul;07. Jun;16. Feb;85.0;15. Jan;1014.2;6498.0
01.05.2024;16. Apr;12.0;21. Jun;179.9;10. Sep;1012.6;10236.0
01.06.2024;17. Jul;12. Aug;22. Mai;77.2;11. Jun;1014.1;12120.0
01.07.2024;19. Aug;15. Jan;25. Jan;92.7;11. Mai;1014.7;12054.0
01.08.2024;21. Apr;16. Jun;26. Sep;48.4;10.0;1014.4;14508.0
01.09.2024;16. Apr;11. Jan;21. Aug;68.0;11. Jan;1013.9;9780.0
01.10.2024;12. Jun;08. Mai;16. Jun;55.0;10. Jul;1015.8;5274.0
01.11.2024;07. Feb;04. Feb;10. Jan;51.8;11. Aug;1020.3;2620.0
01.12.2024;04. Sep;2.0;07. Mrz;54.1;13. Feb;1021.6;1919.0
01.01.2025;;;;;;;
